         8	    0.000000587
        16	    0.000000615
        32	    0.000000696
        64	    0.000000763
       128	    0.000000770
       256	    0.000000780
       512	    0.000000823
      1024	    0.000001004
      2048	    0.000001190
      4096	    0.000001743
      8192	    0.000004039
     16384	    0.000004191
     32768	    0.000006931
     65536	    0.000012324
    131072	    0.000024383
    262144	    0.000045991
    524288	    0.000089931
   1048576	    0.000177112
   2097152	    0.000351810
   4194304	    0.000701864
   8388608	    0.001406739
  16777216	    0.002798915
  33554432	    0.005733216
  67108864	    0.011765752
 134217728	    0.023813775
 268435456	    0.047912147
 536870912	    0.096114848
1073741824	    0.192614982
