         8	    0.000001907
        16	    0.000001891
        32	    0.000002010
        64	    0.000001986
       128	    0.000002222
       256	    0.000002155
       512	    0.000002124
      1024	    0.000002029
      2048	    0.000003765
      4096	    0.000003221
      8192	    0.000003397
     16384	    0.000003512
     32768	    0.000003850
     65536	    0.000005126
    131072	    0.000009539
    262144	    0.000014665
    524288	    0.000025198
   1048576	    0.000048654
   2097152	    0.000093255
   4194304	    0.000210457
   8388608	    0.000410192
  16777216	    0.000954094
  33554432	    0.003221271
  67108864	    0.007260530
 134217728	    0.016787026
 268435456	    0.023494217
 536870912	    0.047274876
1073741824	    0.094743509
