         8	    0.000001638
        16	    0.000001526
        32	    0.000001564
        64	    0.000001574
       128	    0.000001590
       256	    0.000001609
       512	    0.000001976
      1024	    0.000002065
      2048	    0.000002635
      4096	    0.000003393
      8192	    0.000005598
     16384	    0.000008528
     32768	    0.000008602
     65536	    0.000013258
    131072	    0.000020659
    262144	    0.000036044
    524288	    0.000066934
   1048576	    0.000128117
   2097152	    0.000257981
   4194304	    0.000474396
   8388608	    0.001006277
  16777216	    0.002079742
  33554432	    0.004556985
  67108864	    0.009583373
 134217728	    0.018309610
 268435456	    0.037738492
 536870912	    0.076169317
1073741824	    0.149457626
