         8	    0.000007114
        16	    0.000007336
        32	    0.000009496
        64	    0.000025098
       128	    0.000008969
       256	    0.000008032
       512	    0.000011058
      1024	    0.000011864
      2048	    0.000007854
      4096	    0.000014610
      8192	    0.000008392
     16384	    0.000009601
     32768	    0.000011292
     65536	    0.000012150
    131072	    0.000023701
    262144	    0.000026126
    524288	    0.000037880
   1048576	    0.000099919
   2097152	    0.000141847
   4194304	    0.000247657
   8388608	    0.000515618
  16777216	    0.001056275
  33554432	    0.003158882
  67108864	    0.006323726
 134217728	    0.011859200
 268435456	    0.023193314
 536870912	    0.046006546
1073741824	    0.091849291
